Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Brussels-Capital Region,Apartment,apartment,185000.0,1.0,43,E,268.0,Good,Apartments,45234,31133.23,80746,42542,True
Province of Liège,Apartment,flat-studio,79000.0,1.0,32,B,128.0,To renovate,Apartments,195778,29723.4,553498,4139,True
Province of East Flanders,House,mixed-use-building,625000.0,4.0,370,C,255.0,Not specified,Specialized Properties,32702,39518.48,117883,21321,False
Province of Flemish Brabant,Apartment,apartment,790000.0,3.0,200,Not specified,317.0,Not specified,Apartments,13298,54918.18,53260,29264,False
Province of Flemish Brabant,House,villa,1195000.0,3.0,520,B,115.0,As new,Luxury Properties,18179,42686.79,51422,20478,True
Province of West Flanders,Apartment,apartment,304000.0,2.0,100,Not specified,317.0,Good,Apartments,9319,38774.29,34690,8727,True
Province of Liège,Apartment,flat-studio,89000.0,1.0,32,B,128.0,Good,Apartments,195778,29723.4,553498,4139,True
Brussels-Capital Region,Apartment,apartment,195000.0,1.0,34,E,237.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of East Flanders,House,house,625000.0,0.0,278,C,287.0,Just renovated,Houses,12305,44014.92,48387,7122,True
Brussels-Capital Region,Apartment,duplex,875000.0,3.0,215,C,101.0,As new,Apartments,86806,43621.92,224317,19952,True
Province of Flemish Brabant,House,country-cottage,1195000.0,4.0,394,D,317.0,To be done up,Houses,25970,53299.92,96914,5033,True
Province of Hainaut,House,house,245000.0,3.0,124,D,332.0,Just renovated,Houses,96358,32898.97,332742,13041,True
Brussels-Capital Region,Apartment,flat-studio,206000.0,0.0,36,A,44.0,As new,Apartments,45234,31133.23,80746,42542,True
Province of West Flanders,Apartment,apartment,99000.0,0.0,35,C,286.0,Good,Apartments,18180,37625.2,77452,3285,True
Province of Antwerp,House,house,630000.0,4.0,205,B,317.0,As new,Houses,18062,41934.64,57951,8392,True
Province of West Flanders,House,house,259000.0,3.0,110,C,267.0,Good,Houses,72586,33257.05,244961,13344,True
Province of Liège,House,mansion,1200000.0,4.0,500,C,218.0,As new,Luxury Properties,195778,29723.4,553498,4139,True
Brussels-Capital Region,Apartment,apartment,225000.0,1.0,60,E,216.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of West Flanders,House,mansion,995000.0,4.0,375,B,167.0,Good,Luxury Properties,119869,38379.28,447131,54152,True
Province of West Flanders,House,house,640000.0,3.0,265,A,30.0,Good,Houses,20627,37570.88,77565,2696,False
Province of Flemish Brabant,House,exceptional-property,1395000.0,6.0,438,C,225.0,As new,Luxury Properties,5425,44572.0,20917,20910,True
Brussels-Capital Region,Apartment,apartment,940000.0,4.0,337,D,203.0,As new,Apartments,130405,29104.72,217421,12964,True
Brussels-Capital Region,House,apartment-block,795000.0,0.0,237,E,274.0,Not specified,Specialized Properties,26895,22954.31,36878,7264,False
Brussels-Capital Region,Apartment,apartment,895000.0,3.0,220,E,251.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Luxembourg,House,house,390000.0,3.0,184,A,75.0,Not specified,Houses,11972,36446.9,44392,0,True
Brussels-Capital Region,Apartment,apartment,225000.0,1.0,72,G,419.0,To renovate,Apartments,42571,49629.39,117715,6157,True
Province of West Flanders,Apartment,apartment,150000.0,2.0,67,C,253.0,To be done up,Apartments,20559,33019.36,85090,9508,False
Province of East Flanders,House,villa,830000.0,6.0,382,C,212.0,Good,Luxury Properties,90995,38691.96,291881,9696,True
Province of Antwerp,House,house,674000.0,3.0,211,C,204.0,As new,Houses,38470,44845.46,131624,18190,True
Province of Luxembourg,House,house,390000.0,3.0,184,A,75.0,Not specified,Houses,11972,36446.9,44392,0,True
Brussels-Capital Region,Apartment,apartment,230000.0,2.0,80,C,104.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of Luxembourg,Apartment,apartment,155000.0,1.0,63,D,320.0,As new,Apartments,17972,33662.13,63903,1857,False
Province of Flemish Brabant,House,house,530000.0,3.0,232,B,146.0,As new,Houses,42595,38907.97,130239,12277,True
Province of East Flanders,House,house,645000.0,3.0,239,B,181.0,Good,Houses,269597,36726.16,810047,6028,True
Brussels-Capital Region,Apartment,penthouse,990000.0,4.0,203,G,538.0,As new,Apartments,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,430200.0,4.0,184,Not specified,317.0,Good,Houses,14062,46227.42,52861,15288,True
Province of Antwerp,House,house,625000.0,4.0,258,C,233.0,Good,Houses,22557,44885.33,83661,3544,True
Brussels-Capital Region,Apartment,apartment,239000.0,2.0,80,D,153.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of West Flanders,House,house,645000.0,5.0,534,C,281.0,Good,Houses,29227,36788.45,108537,1923,False
Province of West Flanders,Apartment,apartment,155000.0,1.0,52,C,223.0,Good,Apartments,72586,33257.05,244961,13344,False
Province of Antwerp,House,mansion,650000.0,4.0,240,B,317.0,As new,Luxury Properties,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,995000.0,4.0,226,G,456.0,Good,Apartments,89278,36192.4,192538,3920,True
Province of Antwerp,House,house,1195000.0,3.0,289,B,317.0,As new,Houses,44505,39914.48,170277,3762,True
Brussels-Capital Region,Apartment,apartment,260000.0,2.0,82,E,219.0,Good,Apartments,45234,31133.23,80746,42542,True
Province of Flemish Brabant,House,house,645000.0,4.0,230,C,262.0,Good,Houses,23007,51119.01,77582,45459,True
Province of Limburg,Apartment,apartment,975000.0,0.0,359,A,90.0,As new,Apartments,80828,39652.15,280131,2825,False
Province of Flemish Brabant,House,house,449000.0,3.0,150,A,317.0,As new,Houses,10615,43612.29,40422,11362,True
Province of East Flanders,House,exceptional-property,685000.0,5.0,389,D,386.0,Not specified,Luxury Properties,34999,37743.97,124752,14340,True
Province of East Flanders,House,house,675000.0,0.0,205,F,510.0,To renovate,Houses,20059,39985.52,70583,9030,False
Brussels-Capital Region,Apartment,apartment,1100000.0,3.0,237,D,175.0,As new,Apartments,42571,49629.39,117715,6157,True
Province of Antwerp,House,mansion,849000.0,5.0,375,C,269.0,Good,Luxury Properties,544759,33144.07,1227104,4398,True
Province of Liège,House,farmhouse,319000.0,5.0,152,G,317.0,To renovate,Houses,12880,36029.51,48004,4022,True
Province of East Flanders,House,exceptional-property,685000.0,5.0,389,D,386.0,Not specified,Luxury Properties,34999,37743.97,124752,14340,True
Province of West Flanders,Apartment,penthouse,1130000.0,3.0,281,B,130.0,Good,Apartments,119869,38379.28,447131,54152,True
Province of Hainaut,Apartment,apartment,289000.0,4.0,109,Not specified,17.0,Good,Apartments,11624,39767.29,40163,2515,True
Province of Antwerp,House,villa,945000.0,6.0,434,B,142.0,As new,Luxury Properties,13391,37453.66,48384,4480,False
Province of West Flanders,Apartment,flat-studio,168000.0,1.0,30,C,217.0,Good,Apartments,72586,33257.05,244961,13344,False
Province of West Flanders,Apartment,penthouse,1130000.0,3.0,281,B,130.0,Good,Apartments,119869,38379.28,447131,54152,True
Province of Limburg,House,house,719000.0,5.0,315,C,248.0,Good,Houses,67877,33963.21,208929,2043,True
Province of Hainaut,Apartment,apartment,289000.0,4.0,109,Not specified,17.0,Good,Apartments,11572,36444.94,37954,4909,True
Province of East Flanders,Apartment,apartment,465000.0,4.0,169,B,156.0,Not specified,Apartments,269597,36726.16,810047,6028,True
Province of Antwerp,Apartment,apartment,169000.0,1.0,57,E,414.0,To be done up,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,295000.0,2.0,75,G,412.0,To renovate,Apartments,42571,49629.39,117715,6157,True
Province of Antwerp,Apartment,apartment,175000.0,3.0,90,C,232.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of West Flanders,House,villa,720000.0,3.0,265,B,157.0,Good,Luxury Properties,10406,37258.33,39412,6126,True
Brussels-Capital Region,House,house,800000.0,5.0,225,G,317.0,Good,Houses,42571,49629.39,117715,6157,True
Province of West Flanders,Apartment,apartment,175000.0,1.0,70,C,232.0,Good,Apartments,72586,33257.05,244961,13344,False
Brussels-Capital Region,Apartment,apartment,285000.0,2.0,76,E,229.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Liège,Apartment,triplex,159000.0,4.0,100,F,459.0,Just renovated,Apartments,195778,29723.4,553498,4139,True
Province of Luxembourg,House,exceptional-property,750000.0,4.0,301,B,167.0,Good,Luxury Properties,5377,30493.52,27979,0,True
Province of West Flanders,House,villa,685000.0,4.0,246,D,378.0,Good,Luxury Properties,18180,37625.2,77452,3285,False
Province of West Flanders,Apartment,apartment,89000.0,3.0,104,C,266.0,To be done up,Apartments,34417,33568.26,122516,6488,True
Province of Luxembourg,House,house,750000.0,4.0,260,Not specified,14.0,Not specified,Houses,3147,33743.45,13408,0,True
Brussels-Capital Region,Apartment,apartment,1395000.0,4.0,287,D,192.0,To renovate,Apartments,86806,43621.92,224317,19952,True
