Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of East Flanders,Apartment,apartment,229000.0,1.0,44,B,190.0,Good,Apartments,269597,36726.16,810047,6028,False
Brussels-Capital Region,House,villa,1250000.0,4.0,584,G,402.0,To renovate,Luxury Properties,86806,43621.92,224317,19952,True
Brussels-Capital Region,House,house,875000.0,4.0,233,G,563.0,To be done up,Houses,196828,29704.33,380145,17660,True
Province of East Flanders,House,villa,825000.0,4.0,281,B,181.0,As new,Luxury Properties,31271,40141.8,100423,64215,True
Province of Antwerp,Apartment,apartment,334000.0,2.0,93,A,2.0,Not specified,Apartments,12061,39462.43,43322,6925,True
Province of East Flanders,House,house,749000.0,6.0,450,C,262.0,As new,Houses,24744,37507.01,94190,5309,True
Province of Flemish Brabant,House,house,299000.0,3.0,141,C,245.0,Good,Houses,6873,46434.67,24726,29651,False
Province of Antwerp,Apartment,apartment,210000.0,2.0,89,C,283.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Namur,House,house,269000.0,3.0,130,B,118.0,Just renovated,Houses,3476,31604.16,16611,0,True
Province of Flemish Brabant,House,house,699000.0,3.0,255,B,194.0,As new,Houses,13298,54918.18,53260,29264,True
Province of Liège,House,house,59000.0,1.0,48,G,529.0,To be done up,Houses,64266,28856.29,196623,18484,True
Brussels-Capital Region,House,house,585000.0,3.0,200,E,250.0,As new,Houses,86806,43621.92,224317,19952,True
Province of Antwerp,Apartment,apartment,210000.0,2.0,89,C,283.0,Not specified,Apartments,544759,33144.07,1227104,4398,True
Province of Hainaut,House,house,159000.0,2.0,117,E,367.0,Good,Houses,81241,30288.99,268714,8570,False
Brussels-Capital Region,Apartment,apartment,299000.0,3.0,128,G,405.0,Good,Apartments,54107,31546.83,96069,5392,True
Province of East Flanders,House,apartment-block,699000.0,7.0,525,B,181.0,To renovate,Specialized Properties,90995,38691.96,291881,9696,True
Province of East Flanders,Apartment,apartment,229000.0,2.0,80,B,132.0,As new,Apartments,45471,42117.19,171088,11335,True
Province of West Flanders,House,villa,795000.0,3.0,300,Not specified,317.0,Not specified,Luxury Properties,31884,38935.71,121753,23718,False
Brussels-Capital Region,House,house,875000.0,4.0,233,G,563.0,To be done up,Houses,89278,36192.4,192538,3920,True
Province of Luxembourg,House,exceptional-property,749000.0,5.0,608,D,274.0,Good,Luxury Properties,8723,45101.61,32240,0,True
Brussels-Capital Region,House,house,850000.0,4.0,230,E,245.0,Good,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,country-cottage,239000.0,3.0,160,B,192.0,To be done up,Houses,27356,32084.7,82867,11685,False
Province of Antwerp,House,mixed-use-building,149000.0,0.0,67,B,317.0,Just renovated,Specialized Properties,544759,33144.07,1227104,4398,True
Province of East Flanders,House,villa,549000.0,4.0,210,F,701.0,Good,Luxury Properties,10687,42704.05,40227,21094,True
Province of West Flanders,House,house,695000.0,6.0,340,E,455.0,Good,Houses,119869,38379.28,447131,54152,False
Province of East Flanders,House,house,675000.0,5.0,360,Not specified,317.0,Just renovated,Houses,81863,36701.5,247742,11936,True
Province of West Flanders,House,mansion,788000.0,4.0,380,B,195.0,Good,Luxury Properties,119869,38379.28,447131,54152,False
Brussels-Capital Region,House,apartment-block,565000.0,4.0,215,G,793.0,Good,Specialized Properties,196828,29704.33,380145,17660,True
Province of Liège,House,house,150000.0,3.0,104,F,444.0,To be done up,Houses,5319,32936.25,19736,13879,True
Province of East Flanders,House,house,299000.0,4.0,155,C,247.0,To renovate,Houses,269597,36726.16,810047,6028,False
Province of Hainaut,House,house,119000.0,4.0,165,E,372.0,Good,Houses,24108,30827.48,73255,1466,False
Province of Walloon Brabant,House,house,830000.0,5.0,222,C,251.0,Good,Houses,14198,54821.33,57251,12078,True
Province of East Flanders,House,house,299000.0,4.0,155,C,247.0,To renovate,Houses,269597,36726.16,810047,6028,False
Province of Hainaut,House,house,180000.0,3.0,192,G,516.0,To renovate,Houses,23743,34002.99,89009,3946,True
Province of Liège,House,mixed-use-building,155000.0,3.0,120,F,476.0,Good,Specialized Properties,195778,29723.4,553498,4139,False
Province of Liège,House,apartment-block,99000.0,3.0,109,F,476.0,To renovate,Specialized Properties,195778,29723.4,553498,4139,True
Province of Walloon Brabant,House,house,545000.0,6.0,360,D,329.0,Not specified,Houses,35558,41007.54,117663,1680,True
Brussels-Capital Region,House,house,765000.0,5.0,360,G,395.0,To be done up,Houses,58044,31300.75,97050,19678,True
Brussels-Capital Region,House,mixed-use-building,899000.0,5.0,253,F,293.0,Good,Specialized Properties,89278,36192.4,192538,3920,True
Province of West Flanders,House,house,675000.0,4.0,373,B,317.0,Not specified,Houses,21546,45278.76,146797,6821,True
Brussels-Capital Region,House,villa,1050000.0,6.0,391,F,328.0,Not specified,Luxury Properties,196828,29704.33,380145,17660,True
Province of Walloon Brabant,House,exceptional-property,947000.0,5.0,320,C,203.0,As new,Luxury Properties,11114,44726.49,38750,5205,True
Province of East Flanders,House,house,255000.0,2.0,121,F,552.0,Good,Houses,26960,38113.98,93444,2636,True
Province of West Flanders,House,house,599000.0,3.0,250,C,251.0,Not specified,Houses,20559,33019.36,85090,9508,False
Province of Antwerp,House,house,549000.0,4.0,290,B,188.0,Not specified,Houses,12061,39462.43,43322,6925,True
Brussels-Capital Region,House,house,895000.0,5.0,328,C,142.0,Good,Houses,60771,39197.85,137181,288528,True
Brussels-Capital Region,Apartment,apartment,375000.0,2.0,90,D,183.0,To renovate,Apartments,86806,43621.92,224317,19952,True
Province of Flemish Brabant,House,house,729000.0,3.0,200,Not specified,317.0,Not specified,Houses,11474,58045.49,43091,7669,True
Province of Limburg,House,villa,545000.0,3.0,207,B,167.0,As new,Luxury Properties,16607,35153.91,57105,12128,True
Province of Flemish Brabant,House,house,379000.0,3.0,150,D,399.0,Good,Houses,26505,45534.17,87780,58076,True
Province of West Flanders,Apartment,apartment,349500.0,1.0,46,B,152.0,As new,Apartments,32514,49005.78,218080,23881,False
Province of Antwerp,House,house,420000.0,3.0,173,D,367.0,Good,Houses,19580,39572.5,57702,11526,False
Province of Antwerp,House,house,160000.0,3.0,118,E,446.0,To renovate,Houses,22076,43169.23,78265,8341,True
Province of Antwerp,House,villa,775000.0,4.0,333,F,605.0,To renovate,Luxury Properties,38470,44845.46,131624,18190,True
Province of Antwerp,Apartment,ground-floor,225000.0,1.0,55,D,316.0,Good,Apartments,26588,41585.24,77615,14168,True
Brussels-Capital Region,Apartment,apartment,270000.0,2.0,75,D,168.0,As new,Apartments,126581,26480.5,210927,18015,True
Brussels-Capital Region,House,mixed-use-building,899000.0,5.0,253,F,293.0,Good,Specialized Properties,49293,28468.3,88414,15806,True
Province of Walloon Brabant,House,house,695000.0,5.0,325,C,249.0,To be done up,Houses,35558,41007.54,117663,1680,True
Province of Limburg,House,house,775000.0,3.0,242,C,240.0,Not specified,Houses,21845,40419.47,78492,3488,True
Brussels-Capital Region,Apartment,apartment,199000.0,1.0,55,G,426.0,As new,Apartments,130405,29104.72,217421,12964,True
Province of West Flanders,House,house,780775.0,3.0,211,Not specified,317.0,Not specified,Houses,21546,45278.76,146797,6821,False
Province of Liège,House,house,155000.0,3.0,120,F,476.0,Good,Houses,195778,29723.4,553498,4139,False
Province of Flemish Brabant,Apartment,flat-studio,245000.0,1.0,30,B,113.0,Good,Apartments,104009,43011.99,344112,18038,True
Province of Liège,Apartment,apartment,187000.0,2.0,78,C,198.0,Good,Apartments,195778,29723.4,553498,4139,True
Brussels-Capital Region,House,villa,1290000.0,3.0,230,G,505.0,Good,Luxury Properties,86806,43621.92,224317,19952,True
Province of Walloon Brabant,House,villa,1395000.0,5.0,520,C,202.0,Good,Luxury Properties,40461,43475.47,136981,9066,True
Province of West Flanders,House,house,795000.0,3.0,200,B,183.0,Good,Houses,32514,49005.78,218080,23881,True
Province of East Flanders,Apartment,apartment,199000.0,2.0,78,A,98.0,Good,Apartments,45471,42117.19,171088,11335,True
Province of Antwerp,Apartment,apartment,189000.0,3.0,93,C,293.0,To be done up,Apartments,544759,33144.07,1227104,4398,True
Province of Luxembourg,House,house,555000.0,7.0,330,C,235.0,Good,Houses,11368,35651.83,45188,0,True
Province of Liège,Apartment,apartment,139500.0,1.0,42,Not specified,317.0,Just renovated,Apartments,24491,28715.37,74719,1844,True
Province of Antwerp,Apartment,apartment,159900.0,2.0,77,B,129.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Liège,House,house,220000.0,3.0,92,C,216.0,Good,Houses,55770,29892.76,150978,34826,True
Province of Liège,House,apartment-block,920000.0,8.0,360,B,168.0,Good,Specialized Properties,195778,29723.4,553498,4139,True
Province of Liège,House,house,270000.0,3.0,148,C,198.0,Just renovated,Houses,195778,29723.4,553498,4139,True
Province of Walloon Brabant,House,house,195000.0,2.0,142,G,568.0,To renovate,Houses,16068,44783.0,55174,4401,True
Brussels-Capital Region,House,house,945000.0,5.0,353,E,226.0,Good,Houses,60771,39197.85,137181,288528,True
Brussels-Capital Region,House,apartment-block,620000.0,5.0,377,Not specified,317.0,Good,Specialized Properties,58044,31300.75,97050,19678,True
Province of Antwerp,House,villa,849000.0,4.0,437,C,259.0,As new,Luxury Properties,14838,39284.78,57994,5440,True
Province of Antwerp,Apartment,apartment,595000.0,4.0,254,B,191.0,Not specified,Apartments,11867,42235.91,43737,7556,True
Brussels-Capital Region,Apartment,apartment,179000.0,1.0,39,C,116.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,house,199000.0,3.0,110,D,290.0,Good,Houses,195778,29723.4,553498,4139,True
Province of Liège,House,house,249000.0,3.0,157,D,334.0,Good,Houses,23261,31572.93,76079,7948,True
Province of Antwerp,House,villa,570000.0,5.0,228,E,462.0,Good,Luxury Properties,21693,47562.79,72573,10545,True
Province of Antwerp,Apartment,duplex,785000.0,3.0,240,Not specified,317.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of West Flanders,House,house,875000.0,6.0,215,F,616.0,To be done up,Houses,32514,49005.78,218080,23881,False
Province of East Flanders,Apartment,apartment,270000.0,2.0,74,B,153.0,To be done up,Apartments,269597,36726.16,810047,6028,True
Province of Luxembourg,House,mixed-use-building,250000.0,3.0,149,F,494.0,To be done up,Specialized Properties,11368,35651.83,45188,0,False
Brussels-Capital Region,House,mixed-use-building,699000.0,4.0,286,G,426.0,Good,Specialized Properties,86806,43621.92,224317,19952,True
Province of Namur,Apartment,apartment,199000.0,2.0,89,A,83.0,Just renovated,Apartments,7135,35468.74,27036,0,True
Province of East Flanders,House,villa,930000.0,3.0,262,A,36.0,As new,Luxury Properties,269597,36726.16,810047,6028,True
Brussels-Capital Region,House,mansion,925000.0,5.0,342,Not specified,317.0,Not specified,Luxury Properties,130405,29104.72,217421,12964,True
Province of Liège,Apartment,duplex,298500.0,2.0,86,B,127.0,Good,Apartments,9812,32480.32,34097,19781,True
Province of Flemish Brabant,House,house,259000.0,3.0,110,D,304.0,To renovate,Houses,26505,45534.17,87780,58076,True
Province of West Flanders,House,country-cottage,1690000.0,3.0,495,C,233.0,To be done up,Houses,24275,42059.98,92090,20908,True
Province of West Flanders,House,house,850000.0,4.0,279,A,69.0,As new,Houses,119869,38379.28,447131,54152,True
Province of Flemish Brabant,House,house,1199000.0,4.0,478,C,212.0,Not specified,Houses,13298,54918.18,53260,29264,True
Province of West Flanders,House,house,965000.0,4.0,265,Not specified,317.0,Good,Houses,32514,49005.78,218080,23881,False
Brussels-Capital Region,Apartment,apartment,895000.0,3.0,223,C,105.0,Not specified,Apartments,89278,36192.4,192538,3920,True
Province of Liège,Apartment,apartment,200000.0,2.0,80,B,161.0,Good,Apartments,14010,38247.77,48115,2858,True
Brussels-Capital Region,Apartment,apartment,330000.0,2.0,76,C,115.0,Good,Apartments,126581,26480.5,210927,18015,True
Province of Flemish Brabant,Apartment,ground-floor,265000.0,2.0,85,B,200.0,As new,Apartments,36581,38387.4,118342,11481,False
Brussels-Capital Region,Apartment,apartment,207000.0,1.0,75,C,102.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of Luxembourg,House,house,515000.0,4.0,250,C,194.0,As new,Houses,31310,46116.34,107219,9599,True
Brussels-Capital Region,House,house,540000.0,4.0,250,G,317.0,To renovate,Houses,196828,29704.33,380145,17660,True
Province of Flemish Brabant,House,house,1000000.0,3.0,400,D,367.0,As new,Houses,20299,48526.82,71917,2114,False
Province of Antwerp,Apartment,duplex,349000.0,3.0,133,B,164.0,Not specified,Apartments,38210,38750.74,123829,15219,True
Brussels-Capital Region,Apartment,apartment,215000.0,2.0,78,C,120.0,To renovate,Apartments,42571,49629.39,117715,6157,True
Province of Antwerp,House,villa,1195000.0,4.0,284,C,236.0,As new,Luxury Properties,38470,44845.46,131624,18190,True
Brussels-Capital Region,Apartment,apartment,390000.0,2.0,81,D,196.0,Good,Apartments,42571,49629.39,117715,6157,True
Province of East Flanders,House,house,274000.0,4.0,182,E,493.0,Good,Houses,32702,39518.48,117883,21321,False
Province of Antwerp,House,house,835000.0,5.0,335,B,134.0,Good,Houses,21792,43829.5,76609,4251,False
Province of Liège,Apartment,apartment,219000.0,2.0,98,D,305.0,Not specified,Apartments,28989,32536.77,95135,5080,True
Province of Hainaut,House,villa,545000.0,4.0,220,B,119.0,Not specified,Luxury Properties,8475,43026.09,31038,21300,False
Province of Antwerp,House,house,775000.0,4.0,350,C,226.0,To be done up,Houses,22557,44885.33,83661,3544,False
Brussels-Capital Region,House,house,1200000.0,2.0,200,Not specified,317.0,As new,Houses,89278,36192.4,192538,3920,True
Province of Antwerp,House,exceptional-property,446000.0,3.0,121,A,76.0,As new,Luxury Properties,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,House,house,275000.0,3.0,100,C,210.0,To be done up,Houses,40461,43475.47,136981,9066,True
Brussels-Capital Region,Apartment,apartment,220000.0,2.0,74,G,625.0,As new,Apartments,196828,29704.33,380145,17660,True
Province of West Flanders,House,house,629000.0,2.0,289,D,347.0,Just renovated,Houses,25785,40149.26,97823,2728,True
Province of West Flanders,House,apartment-block,545000.0,0.0,260,A,90.0,To renovate,Specialized Properties,20627,37570.88,77565,2696,True
Province of East Flanders,House,house,535000.0,4.0,272,B,134.0,As new,Houses,22401,34900.42,79144,3997,False
Brussels-Capital Region,House,house,1200000.0,5.0,202,Not specified,317.0,Good,Houses,89278,36192.4,192538,3920,True
Province of Hainaut,House,house,155000.0,2.0,100,F,460.0,Good,Houses,204322,27395.91,624599,50040,True
Province of Antwerp,House,house,275000.0,3.0,183,F,568.0,To be done up,Houses,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,220000.0,2.0,75,D,210.0,Good,Apartments,126581,26480.5,210927,18015,True
Province of Liège,Apartment,apartment,920000.0,8.0,360,B,168.0,Good,Apartments,195778,29723.4,553498,4139,True
Province of Flemish Brabant,House,villa,899000.0,6.0,338,F,720.0,Not specified,Luxury Properties,25970,53299.92,96914,5033,False
Province of Antwerp,Apartment,apartment,225000.0,2.0,82,B,171.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Walloon Brabant,House,house,285000.0,3.0,140,C,216.0,To renovate,Houses,40461,43475.47,136981,9066,True
Province of East Flanders,House,mixed-use-building,545000.0,6.0,340,C,221.0,Not specified,Specialized Properties,6888,40442.75,26539,6498,True
Province of Antwerp,House,villa,525000.0,4.0,257,D,310.0,Not specified,Luxury Properties,22557,44885.33,83661,3544,True
Province of West Flanders,Apartment,apartment,245000.0,2.0,100,B,135.0,Good,Apartments,20559,33019.36,85090,9508,False
Province of Antwerp,House,apartment-block,285000.0,1.0,40,D,332.0,Good,Specialized Properties,38210,38750.74,123829,15219,False
Province of Flemish Brabant,House,villa,1550000.0,5.0,405,B,119.0,As new,Luxury Properties,18179,42686.79,51422,20478,True
Province of Liège,House,apartment-block,549000.0,5.0,289,B,106.0,Good,Specialized Properties,40814,29901.9,123528,11066,True
Brussels-Capital Region,House,apartment-block,1450000.0,11.0,547,C,141.0,Good,Specialized Properties,130405,29104.72,217421,12964,True
Brussels-Capital Region,House,house,1200000.0,5.0,207,Not specified,317.0,Good,Houses,89278,36192.4,192538,3920,True
Province of Flemish Brabant,Apartment,ground-floor,220000.0,1.0,65,B,165.0,As new,Apartments,36676,41981.17,113998,4785,False
Brussels-Capital Region,Apartment,apartment,225000.0,2.0,78,D,178.0,Good,Apartments,126581,26480.5,210927,18015,True
Brussels-Capital Region,House,house,1375000.0,6.0,215,Not specified,317.0,Good,Houses,89278,36192.4,192538,3920,True
Province of Flemish Brabant,House,house,195000.0,5.0,129,D,389.0,To be done up,Houses,24001,39614.54,92557,6501,True
Brussels-Capital Region,Apartment,apartment,229000.0,1.0,65,G,893.0,To renovate,Apartments,86806,43621.92,224317,19952,True
Province of Luxembourg,House,house,309000.0,4.0,150,E,422.0,To renovate,Houses,11972,36446.9,44392,0,True
Brussels-Capital Region,House,apartment-block,895000.0,2.0,450,Not specified,317.0,Good,Specialized Properties,86806,43621.92,224317,19952,True
Province of East Flanders,House,apartment-block,549000.0,3.0,220,F,633.0,To renovate,Specialized Properties,269597,36726.16,810047,6028,True
Province of Flemish Brabant,House,mixed-use-building,1590000.0,12.0,602,Not specified,317.0,Good,Specialized Properties,42595,38907.97,130239,12277,False
Province of Antwerp,House,house,349000.0,5.0,160,F,638.0,To renovate,Houses,19580,39572.5,57702,11526,False
Province of Antwerp,House,house,319000.0,5.0,172,D,342.0,To be done up,Houses,21693,47562.79,72573,10545,True
Province of Namur,House,villa,630000.0,5.0,350,C,192.0,Just renovated,Luxury Properties,10418,36293.12,36762,0,True
Province of East Flanders,House,house,549000.0,4.0,205,B,157.0,Just renovated,Houses,269597,36726.16,810047,6028,True
Province of West Flanders,House,house,1690000.0,3.0,291,Not specified,45.0,As new,Houses,32514,49005.78,218080,23881,False
Province of East Flanders,House,house,495000.0,3.0,170,A,317.0,As new,Houses,19110,47282.69,70080,9209,True
Brussels-Capital Region,Apartment,apartment,232000.0,1.0,75,C,102.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of Walloon Brabant,House,house,350000.0,2.0,120,G,522.0,To be done up,Houses,30596,49868.21,110845,5016,True
Province of Liège,House,mixed-use-building,599000.0,5.0,366,B,154.0,Not specified,Specialized Properties,14531,34064.3,49034,15669,False
Province of East Flanders,House,house,549000.0,4.0,205,B,157.0,Just renovated,Houses,25229,47435.18,91348,5057,True
Province of West Flanders,House,villa,1200000.0,4.0,594,B,317.0,As new,Luxury Properties,34417,33568.26,122516,6488,True
Province of Flemish Brabant,House,town-house,342000.0,4.0,140,B,147.0,Good,Houses,19404,43948.88,69720,4064,True
Province of Flemish Brabant,House,house,355000.0,3.0,120,C,249.0,Just renovated,Houses,15124,50956.47,56231,6705,True
Province of Flemish Brabant,House,house,229000.0,2.0,146,F,526.0,To be done up,Houses,9527,44140.54,35357,3609,True
Brussels-Capital Region,Apartment,apartment,235000.0,2.0,75,G,495.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of East Flanders,House,house,1100000.0,5.0,200,A,90.0,As new,Houses,269597,36726.16,810047,6028,True
Province of Antwerp,House,house,549900.0,7.0,281,C,296.0,Good,Houses,34641,43194.52,105168,10768,True
Province of Antwerp,Apartment,apartment,192000.0,2.0,70,B,317.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of East Flanders,House,house,369000.0,3.0,149,B,191.0,Good,Houses,13704,35445.83,45779,8952,True
Province of East Flanders,House,house,535000.0,3.0,356,C,235.0,Good,Houses,12305,44014.92,48387,7122,True
Province of Antwerp,House,house,650000.0,3.0,444,D,361.0,Not specified,Houses,14890,46475.2,50748,11242,False
Province of Hainaut,House,house,560000.0,5.0,485,F,436.0,Not specified,Houses,8475,43026.09,31038,21300,False
Brussels-Capital Region,Apartment,apartment,245000.0,2.0,70,C,121.0,Good,Apartments,25787,32996.53,51575,23859,True
Province of Walloon Brabant,House,house,595000.0,4.0,209,F,461.0,To be done up,Houses,23096,46842.84,79165,5366,True
Province of Luxembourg,House,house,990000.0,5.0,482,D,260.0,Good,Houses,31310,46116.34,107219,9599,True
Province of West Flanders,House,house,465000.0,3.0,191,A,96.0,Not specified,Houses,80032,37694.03,283738,359714,False
Brussels-Capital Region,Apartment,apartment,255000.0,2.0,90,B,86.0,Good,Apartments,98365,25895.01,133439,16848,True
Province of Liège,House,house,699000.0,5.0,295,D,328.0,As new,Houses,9344,37946.13,34535,4171,True
Province of East Flanders,Apartment,penthouse,1325000.0,2.0,320,B,168.0,Not specified,Apartments,15486,39427.66,59865,15597,True
Brussels-Capital Region,House,villa,1385000.0,4.0,260,D,175.0,As new,Luxury Properties,42571,49629.39,117715,6157,True
Province of Namur,House,house,429000.0,3.0,166,E,376.0,Just renovated,Houses,12716,32959.8,50453,0,True
Province of Flemish Brabant,House,mixed-use-building,625000.0,7.0,266,C,258.0,Not specified,Specialized Properties,18179,42686.79,51422,20478,False
Province of Antwerp,House,villa,795000.0,4.0,370,D,368.0,Good,Luxury Properties,18062,41934.64,57951,8392,True
Province of Liège,House,house,74000.0,2.0,73,F,475.0,To renovate,Houses,195778,29723.4,553498,4139,True
Province of Antwerp,House,house,384950.0,3.0,160,D,370.0,To be done up,Houses,23009,46533.35,69885,44616,True
Province of Walloon Brabant,House,villa,1150000.0,4.0,400,B,161.0,Good,Luxury Properties,29070,39782.46,88101,4235,True
Province of West Flanders,House,house,259500.0,3.0,145,B,171.0,Good,Houses,15148,40944.72,58452,8139,True
Province of Flemish Brabant,House,house,389000.0,3.0,145,B,159.0,Good,Houses,18179,42686.79,51422,20478,True
Province of West Flanders,House,house,246000.0,4.0,116,E,464.0,Good,Houses,24275,42059.98,92090,20908,True
Province of Flemish Brabant,House,house,630000.0,4.0,240,A,317.0,Not specified,Houses,23007,51119.01,77582,45459,True
Province of Antwerp,House,house,595000.0,5.0,345,E,490.0,To renovate,Houses,38210,38750.74,123829,15219,True
Province of Liège,House,villa,398000.0,4.0,162,F,479.0,Good,Luxury Properties,4142,44470.66,15489,61275,True
Brussels-Capital Region,Apartment,apartment,249000.0,1.0,70,G,694.0,Good,Apartments,60771,39197.85,137181,288528,True
Province of West Flanders,House,house,595000.0,6.0,281,C,219.0,Just renovated,Houses,11021,35458.79,66035,18535,True
Province of Flemish Brabant,House,villa,895000.0,4.0,240,B,198.0,To be done up,Luxury Properties,18693,53638.11,67588,7471,True
Province of East Flanders,House,villa,695000.0,3.0,385,E,428.0,Good,Luxury Properties,45471,42117.19,171088,11335,True
Province of Flemish Brabant,Apartment,apartment,189500.0,2.0,79,C,226.0,As new,Apartments,36581,38387.4,118342,11481,True
Province of West Flanders,House,villa,995000.0,4.0,211,F,579.0,To renovate,Luxury Properties,11455,35914.08,74000,14552,True
Province of Antwerp,House,house,780000.0,10.0,448,D,335.0,To renovate,Houses,544759,33144.07,1227104,4398,False
Province of Flemish Brabant,House,villa,990000.0,6.0,492,Not specified,317.0,As new,Luxury Properties,15124,50956.47,56231,6705,True
Province of Liège,House,house,330000.0,3.0,125,D,273.0,Good,Houses,9733,40046.25,35840,4557,True
Province of Hainaut,House,house,150000.0,4.0,121,G,515.0,To renovate,Houses,204322,27395.91,624599,50040,True
Brussels-Capital Region,Apartment,apartment,175000.0,1.0,20,F,314.0,Good,Apartments,26895,22954.31,36878,7264,True
Brussels-Capital Region,Apartment,flat-studio,135000.0,1.0,23,E,236.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Liège,House,house,165000.0,3.0,126,D,325.0,Good,Houses,195778,29723.4,553498,4139,True
Province of West Flanders,Apartment,apartment,149900.0,1.0,62,B,132.0,Good,Apartments,8722,38846.49,33773,5680,True
Brussels-Capital Region,Apartment,apartment,450000.0,3.0,125,G,367.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of Antwerp,House,house,625000.0,4.0,209,B,176.0,Good,Houses,8614,42336.22,27922,15622,True
Province of Flemish Brabant,Apartment,apartment,245000.0,2.0,84,B,159.0,Good,Apartments,42595,38907.97,130239,12277,True
Province of East Flanders,House,house,539000.0,4.0,306,B,165.0,As new,Houses,47185,38820.1,160975,4396,True
Province of East Flanders,House,house,376463.0,3.0,120,Not specified,317.0,As new,Houses,13311,44807.05,50053,19263,True
Province of West Flanders,House,mixed-use-building,379000.0,2.0,171,B,317.0,Good,Specialized Properties,29227,36788.45,108537,1923,True
Brussels-Capital Region,Apartment,apartment,259000.0,1.0,75,G,634.0,To renovate,Apartments,86806,43621.92,224317,19952,False
Province of Antwerp,House,house,399000.0,3.0,160,C,204.0,Good,Houses,28248,38599.87,86025,7933,True
Brussels-Capital Region,Apartment,penthouse,1350000.0,5.0,395,C,140.0,As new,Apartments,89278,36192.4,192538,3920,True
Province of Flemish Brabant,House,house,599000.0,2.0,230,F,1078.0,To renovate,Houses,9703,44261.16,33980,2739,True
Province of East Flanders,House,house,399189.0,3.0,153,Not specified,317.0,As new,Houses,13311,44807.05,50053,19263,True
Brussels-Capital Region,Apartment,apartment,259000.0,1.0,75,G,579.0,To renovate,Apartments,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,435000.0,3.0,162,B,136.0,Good,Houses,32702,39518.48,117883,21321,True
Province of East Flanders,House,house,685000.0,3.0,227,E,495.0,Good,Houses,45471,42117.19,171088,11335,True
Province of Liège,House,house,599000.0,3.0,209,C,171.0,Good,Houses,10010,47599.32,39801,594620,True
Province of Antwerp,Apartment,apartment,1250000.0,3.0,272,B,176.0,Good,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,690000.0,4.0,281,E,211.0,Good,Apartments,26895,22954.31,36878,7264,True
Province of East Flanders,House,house,401089.0,3.0,153,Not specified,317.0,As new,Houses,13311,44807.05,50053,19263,True
Brussels-Capital Region,House,mixed-use-building,450000.0,3.0,134,F,275.0,As new,Specialized Properties,26895,22954.31,36878,7264,True
Province of East Flanders,House,house,849000.0,4.0,378,C,232.0,Good,Houses,16095,40057.82,62020,5245,True
Province of Flemish Brabant,Apartment,apartment,259000.0,2.0,75,F,550.0,Good,Apartments,42595,38907.97,130239,12277,False
Province of Antwerp,Apartment,duplex,1545000.0,3.0,246,A,86.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,Apartment,apartment,224000.0,2.0,89,C,249.0,Good,Apartments,14890,46475.2,50748,11242,True
Province of West Flanders,House,house,275000.0,3.0,167,C,239.0,Good,Houses,19921,34694.71,78749,37461,True
Province of East Flanders,House,mansion,660000.0,4.0,280,B,190.0,Good,Luxury Properties,90995,38691.96,291881,9696,True
Province of West Flanders,House,house,599000.0,7.0,362,D,343.0,Just renovated,Houses,80032,37694.03,283738,359714,True
Province of Antwerp,Apartment,apartment,604250.0,0.0,279,Not specified,317.0,Not specified,Apartments,23009,46533.35,69885,44616,True
Province of Flemish Brabant,House,villa,995000.0,5.0,258,B,153.0,As new,Luxury Properties,15417,44198.89,60198,7123,True
Province of Liège,House,house,139000.0,2.0,122,D,283.0,To renovate,Houses,25743,34097.95,90151,1590,True
Brussels-Capital Region,Apartment,apartment,470000.0,3.0,140,E,317.0,To be done up,Apartments,42571,49629.39,117715,6157,True
Province of Antwerp,House,villa,1165000.0,3.0,241,C,279.0,Good,Luxury Properties,15454,51407.17,56325,2469,True
Brussels-Capital Region,Apartment,duplex,279000.0,3.0,101,D,185.0,Good,Apartments,196828,29704.33,380145,17660,True
Province of East Flanders,House,house,599500.0,4.0,200,A,27.0,As new,Houses,24744,37507.01,94190,5309,True
Province of Liège,House,house,144000.0,2.0,115,G,548.0,To be done up,Houses,27002,32475.49,90638,4402,True
