dataset,r2,mse,rmse,mae,mape,smape
Train Set (transformed),0.8872,0.048109572273630496,0.21933894381443186,0.17227816104323274,0.0133,0.0133
Test set (transformed),0.8561,0.05926595857399544,0.24344600751295029,0.19123821781844857,0.0147,0.0147
Train set (original values),0.8167,23060522420.745922,151856.91430009343,96608.86412986688,0.1738,0.1708
Test set (original values),0.7823,25147847112.926807,158580.72743220345,104455.29958757777,0.1945,0.1893
