Post code,Special code,Submunicipality code,Région code,Province code,Arrondissement code,Municipality code,Sub-municipality name (French),Sub-municipality name (Dutch),Sub-municipality name (German),Région name (German),Région name (Dutch),Région name (French),Province name (German),Province name (Dutch),Province name (French),Arrondissement name (German),Arrondissement name (Dutch),Arrondissement name (French),Municipality name (German),Municipality name (Dutch),Municipality name (French)
4254,0,64029F,3000,60000,64000,64029,Ligney,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Waremme,,,Geer
4650,0,63035D,3000,60000,63000,63035,Chaineux,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Herve
4820,0,63020A,3000,60000,63000,63020,Dison,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Dison
4654,0,63035B,3000,60000,63000,63035,Charneux,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Herve
4430,0,62003A,3000,60000,62000,62003,Ans,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Ans
6440,0,56029A-I,3000,50000,56000,56029,Froid-Chapelle,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Froidchapelle
7911,0,51065A,3000,50000,51000,51065,Frasnes-lez-Buissenal,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Frasnes-lez-Anvaing
7024,0,53053S,3000,50000,53000,53053,Ciply,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Mons
7012,0,53053T,3000,50000,53000,53053,Jemappes,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Mons
6791,0,81004B,3000,80000,81000,81004,Athus,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Arlon,,,Aubange
6960,0,83055A,3000,80000,83000,83055,Grandmenil,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Marche-en-Famenne,,,Manhay
1761,0,23097B,2000,20001,23000,23097,,Borchtlombeek,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Roosdaal,
7810,0,51004J,3000,50000,51000,51004,Maffle,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Ath
1044,1,21015A,1000,,21000,21015,Schaerbeek,Schaarbeek,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Schaarbeek,Schaerbeek
1380,0,25119A,3000,20002,25000,25119,Lasne-Chapelle-Saint-Lambert,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Lasne
2099,1,11002-Z,2000,10000,11000,11002,,Antwerpen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Antwerpen,
2220,0,12014A,2000,10000,12000,12014,,Heist-op-den-Berg,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Mechelen,,,Heist-op-den-Berg,
2250,0,13029A,2000,10000,13000,13029,,Olen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Olen,
2050,0,11002-Z,2000,10000,11000,11002,,Antwerpen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Antwerpen,
2288,0,13010B,2000,10000,13000,13010,,Bouwel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Grobbendonk,
8511,0,34022E,2000,30000,34000,34022,,Aalbeke,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Kortrijk,
8780,0,37010A,2000,30000,37000,37010,,Oostrozebeke,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Tielt,,,Oostrozebeke,
6760,0,85045B,3000,80000,85000,85045,Èthe,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Virton
3391,0,24135B,2000,20001,24000,24135,,Meensel-Kiezegem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Tielt-Winge,
1980,0,23096E,2000,20001,23000,23096,,Eppegem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Zemst,
3071,0,24055B,2000,20001,24000,24055,,Erps-Kwerps,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Kortenberg,
5520,0,91103C,3000,90000,91000,91103,Anthée,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Onhaye
5070,0,92048A,3000,90000,92000,92048,Fosses-la-Ville,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Fosses-la-Ville
5336,0,92006E,3000,90000,92000,92006,Courrière,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Assesse
3670,0,72040D,2000,70000,72000,72042,,Gruitrode,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Maaseik,,,Oudsbergen,
3732,0,73032E,2000,70000,73000,73032,,Schalkhoven,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Hoeselt,
3940,0,72038A,2000,70000,72000,72038,,Hechtel,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Maaseik,,,Hechtel-Eksel,
3960,0,72004A-I,2000,70000,72000,72004,,Bree,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Maaseik,,,Bree,
8340,0,31006E,2000,30000,31000,31006,,Moerkerke,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Brugge,,,Damme,
8420,0,35029C,2000,30000,35000,35029,,Wenduine,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Oostende,,,De Haan,
8573,0,34002D,2000,30000,34000,34002,,Tiegem,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Anzegem,
6706,0,81001B,3000,80000,81000,81001,Autelbas,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Arlon,,,Arlon
3211,0,24066B,2000,20001,24000,24066,,Binkom,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Lubbeek,
1910,0,23038A,2000,20001,23000,23038,,Kampenhout,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Kampenhout,
9120,0,46003A,2000,40000,46000,46003,,Beveren,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Sint-Niklaas,,,Beveren,
9520,0,41063A,2000,40000,41000,41063,,Sint-Lievens-Houtem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Sint-Lievens-Houtem,
9667,0,45062B,2000,40000,45000,45062,,Sint-Kornelis-Horebeke,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Oudenaarde,Audenarde,,Horebeke,
4452,0,62060G,3000,60000,62000,62060,Wihogne,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Juprelle
4101,0,62096B,3000,60000,62000,62096,Jemeppe,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Seraing
4210,0,61010C,3000,60000,61000,61010,Lamontzée,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Huy,,,Burdinne
4802,0,63079-Z,3000,60000,63000,63079,Heusy,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Verviers
4900,0,63072A,3000,60000,63000,63072,Spa,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Spa
6470,0,56088C,3000,50000,56000,56088,Sautin,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Sivry-Rance
7801,0,51004K,3000,50000,51000,51004,Irchonwelz,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Ath
7080,0,53028D,3000,50000,53000,53028,Eugies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Frameries
7811,0,51004H,3000,50000,51000,51004,Arbre,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Ath
6031,0,52011K,3000,50000,52000,52011,Monceau-sur-Sambre,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Charleroi
7640,0,57003C,3000,50000,57000,57003,Maubray,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Antoing
7782,0,54010E,3000,50000,57000,57097,Ploegsteert,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,Komen-Waasten,Comines-Warneton
7743,0,57062D,3000,50000,57000,57062,Obigies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Pecq
6591,0,56051B,3000,50000,56000,56051,Macon,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Momignies
7180,0,52063A,3000,50000,55000,55085,Seneffe,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Zinnik,Soignies,,,Seneffe
6182,0,52015B,3000,50000,52000,52015,Souvret,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Courcelles
7011,0,53053D,3000,50000,53000,53053,Ghlin,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Mons
7502,0,57081N,3000,50000,57000,57081,Esplechin,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
6590,0,56051A,3000,50000,56000,56051,Momignies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Momignies
7062,0,55040B,3000,50000,55000,55040,Naast,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Zinnik,Soignies,,,Soignies
6223,0,52021G,3000,50000,52000,52021,Wagnelée,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Fleurus
1110,1,21004-Z,1000,,21000,21004,Bruxelles,Brussel,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Brussel,Bruxelles
1005,1,21004-Z,1000,,21000,21004,Bruxelles,Brussel,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Brussel,Bruxelles
1310,0,25050A,3000,20002,25000,25050,La Hulpe,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,La Hulpe
2980,0,11055A,2000,10000,11000,11055,,Zoersel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Zoersel,
2960,0,11009A,2000,10000,11000,11009,,Brecht,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Brecht,
2222,0,12014C,2000,10000,12000,12014,,Itegem,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Mechelen,,,Heist-op-den-Berg,
2580,0,12029A,2000,10000,12000,12029,,Putte,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Mechelen,,,Putte,
8377,0,31042C,2000,30000,31000,31042,,Houtave,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Brugge,,,Zuienkerke,
8432,0,35011C,2000,30000,35000,35011,,Leffinge,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Oostende,,,Middelkerke,
8520,0,34023A,2000,30000,34000,34023,,Kuurne,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Kuurne,
6838,0,84010B,3000,80000,84000,84010,Corbion,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Bouillon
6924,0,84075C,3000,80000,84000,84075,Lomprez,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Wellin
1630,0,23100A,2000,20001,23000,23100,,Linkebeek,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Linkebeek,Linkebeek
3040,0,24045C,2000,20001,24000,24045,,Neerijse,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Huldenberg,
9,0,24134B,2000,20001,24000,24134,,Zichem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Scherpenheuvel-Zichem,
3000,0,24062-Z,2000,20001,24000,24062,,Heverlee,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Leuven,
1602,0,23077D,2000,20001,23000,23077,,Vlezenbeek,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Sint-Pieters-Leeuw,
3350,0,24133G,2000,20001,24000,24133,,Wommersom,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Linter,
1932,0,23094D,2000,20001,23000,23094,,Sint-Stevens-Woluwe,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Zaventem,
3070,0,24055A,2000,20001,24000,24055,,Kortenberg,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Kortenberg,
5630,0,93010B,3000,90000,93000,93010,Soumoy,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Philippeville,,,Cerfontaine
5561,0,91072G,3000,90000,91000,91072,Celles,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Houyet
5140,0,92114A,3000,90000,92000,92114,Sombreffe,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Sombreffe
5660,0,93014A,3000,90000,93000,93014,Couvin,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Philippeville,,,Couvin
5031,0,92142B,3000,90000,92000,92142,Grand-Leez,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Gembloux
5570,0,91013B,3000,90000,91000,91013,Javingue,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Beauraing
3723,0,73040E,2000,70000,73000,73040,,Guigoven,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Kortessem,
3840,0,73009A,2000,70000,73000,73009,,Borgloon,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Borgloon,
3910,0,72025A,2000,70000,72000,72043,,Neerpelt,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Maaseik,,,Pelt,
8840,0,36019A,2000,30000,36000,36019,,Staden,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Roeselare,,,Staden,
6700,0,81001C,3000,80000,81000,81001,Heinsch,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Arlon,,,Arlon
6824,0,85011C,3000,80000,85000,85011,Chassepierre,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Florenville
9550,0,41027H,2000,40000,41000,41027,,Sint-Lievens-Esse,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Herzele,
9100,0,46021A,2000,40000,46000,46021,,Sint-Niklaas,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Sint-Niklaas,,,Sint-Niklaas,
9988,0,43014E,2000,40000,43000,43014,,Watervliet,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Sint-Laureins,
9250,0,42023A,2000,40000,42000,42023,,Waasmunster,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Dendermonde,,,Waasmunster,
9150,0,46013B,2000,40000,46000,46013,,Bazel,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Sint-Niklaas,,,Kruibeke,
9810,0,44048A,2000,40000,44000,44048,,Nazareth,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Nazareth,
9400,0,41048A,2000,40000,41000,41048,,Ninove,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Ninove,
4590,0,61048A,3000,60000,61000,61048,Ouffet,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Huy,,,Ouffet
4606,0,62027H,3000,60000,62000,62027,Saint-André,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Dalhem
4880,0,63003A,3000,60000,63000,63003,Aubel,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Aubel
4831,0,63046B,3000,60000,63000,63046,Bilstain,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Limbourg
4710,0,63048A,3000,60000,63000,63048,,,Lontzen,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,Lontzen,,Lontzen
4453,0,62060D,3000,60000,62000,62060,Villers-Saint-Siméon,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Juprelle
6060,0,52011D,3000,50000,52000,52011,Gilly,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Charleroi
7040,0,53084A,3000,50000,53000,53084,Quévy-le-Petit,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Quévy
6536,0,56078D,3000,50000,56000,56078,Thuillies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Thuin
7804,0,51004V,3000,50000,51000,51004,Ostiches,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Aat,Ath,,,Ath
6542,0,56044B,3000,50000,56000,56044,Sars-la-Buissière,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Lobbes
6461,0,56016B,3000,50000,56000,56016,Virelles,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Thuin,,,Chimay
7531,0,57081D,3000,50000,57000,57081,Havinnes,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7532,0,57081F-I,3000,50000,57000,57081,Beclers,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
1000,0,21009A,1000,,21000,21009,Ixelles,Elsene,,,Brussels Hoofdstedelijk Gewest,Région de Bruxelles-Capitale,,,,,Brussel-Hoofdstad,Bruxelles-Capitale,,Elsene,Ixelles
1390,0,25037B,3000,20002,25000,25037,Archennes,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Grez-Doiceau
2235,0,13016C,2000,10000,13000,13016,,Houtvenne,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Hulshout,
5310,0,92035A,3000,90000,92000,92035,Éghezée,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Éghezée
5670,0,93090A,3000,90000,93000,93090,Olloy-sur-Viroin,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Philippeville,,,Viroinval
3792,0,73109E,2000,70000,73000,73109,,Sint-Pieters-Voeren,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Voeren,Fourons
8620,0,38016C,2000,30000,38000,38016,,Ramskapelle,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Veurne,,,Nieuwpoort,
8951,0,33039E,2000,30000,33000,33039,,Dranouter,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Ieper,Ypres,,Heuvelland,
6670,0,82037C,3000,80000,82000,82037,Limerlé,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Bastogne,,,Gouvy
6721,0,85046F,3000,80000,85000,85046,Anlier,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Habay
6767,0,85047B,3000,80000,85000,85047,Harnoncourt,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Rouvroy
1934,1,23047B,2000,20001,23000,23047,,Diegem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Machelen,
3018,0,24062-Y,2000,20001,24000,24062,,Wilsele,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Leuven,
3201,0,24001B,2000,20001,24000,24001,,Langdorp,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Aarschot,
3360,0,24011A,2000,20001,24000,24011,,Bierbeek,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Bierbeek,
3080,0,24104A,2000,20001,24000,24104,,Tervuren,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Tervuren,
3380,0,24137A,2000,20001,24000,24137,,Glabbeek-Zuurbemde,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Glabbeek,
1651,0,23003E,2000,20001,23000,23003,,Lot,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Beersel,
9921,0,44036B,2000,40000,44000,44085,,Vinderhoute,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Lievegem,
9931,0,44080C,2000,40000,44000,44085,,Oostwinkel,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,Lievegem,
4170,0,62026A,3000,60000,62000,62026,Comblain-au-Pont,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Comblain-au-Pont
4400,0,62120A-III,3000,60000,62000,62120,Chokier,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Flémalle
4122,0,62121B,3000,60000,62000,62121,Plainevaux,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Neupré
4121,0,62121A,3000,60000,62000,62121,Neuville-en-Condroz,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Neupré
4099,0,62006A,3000,60000,62000,62006,Awans,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Awans
4631,0,62099F,3000,60000,62000,62099,Évegnée-Tignée,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Soumagne
4890,0,63089B,3000,60000,63000,63089,Clermont,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,Verviers,,Verviers,,,Thimister-Clermont
4470,0,64065A,3000,60000,64000,64065,Saint-Georges-sur-Meuse,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Waremme,,,Saint-Georges-sur-Meuse
7542,0,57081V-II,3000,50000,57000,57081,Mont-Saint-Aubert,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
7331,0,53070B,3000,50000,53000,53070,Baudour,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Mons,,,Saint-Ghislain
7600,0,57064A,3000,50000,57000,57064,Péruwelz,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Péruwelz
6111,0,52048B,3000,50000,52000,52048,Landelies,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Montigny-le-Tilleul
6040,0,52011N,3000,50000,52000,52011,Jumet,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,,Charleroi,,,Charleroi
7520,0,57081S,3000,50000,57000,57081,Templeuve,,,Wallonische Region,Waals Gewest,Région wallonne,,Henegouwen,Hainaut (le),,Doornik en Moeskroen,Tournai et Mouscron,,,Tournai
1341,0,25121B,3000,20002,25000,25121,Céroux-Mousty,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Ottignies-Louvain-la-Neuve
1350,0,25120C,3000,20002,25000,25120,Jauche,,,Wallonische Region,Waals Gewest,Région wallonne,,,Brabant wallon (le),,,Nivelles,,,Orp-Jauche
2242,0,11054B,2000,10000,11000,11054,,Pulderbos,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Zandhoven,
2850,0,11005A,2000,10000,11000,11005,,Boom,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Boom,
2491,0,13003B,2000,10000,13000,13003,,Olmen,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Balen,
2480,0,13006A,2000,10000,13000,13006,,Dessel,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Dessel,
3470,0,24054A,2000,20001,24000,24054,,Kortenaken,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Kortenaken,
9404,0,41048K,2000,40000,41000,41048,,Aspelare,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Ninove,
9840,0,44012B,2000,40000,44000,44012,,Zevergem,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Gent,,,De Pinte,
9506,0,41018L,2000,40000,41000,41018,,Grimminge,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Aalst,,,Geraardsbergen,
9160,0,46014A,2000,40000,46000,46014,,Lokeren,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Sint-Niklaas,,,Lokeren,
9900,0,43005A,2000,40000,43000,43005,,Eeklo,,,Vlaams Gewest,Région flamande,,Oost-Vlaanderen,Flandre orientale (la),,Eeklo,,,Eeklo,
4420,0,62093A,3000,60000,62000,62093,Saint-Nicolas,,,Wallonische Region,Waals Gewest,Région wallonne,Lüttich,,Liège,,,Liège,,,Saint-Nicolas
