Post code,Special code,Submunicipality code,Région code,Province code,Arrondissement code,Municipality code,Sub-municipality name (French),Sub-municipality name (Dutch),Sub-municipality name (German),Région name (German),Région name (Dutch),Région name (French),Province name (German),Province name (Dutch),Province name (French),Arrondissement name (German),Arrondissement name (Dutch),Arrondissement name (French),Municipality name (German),Municipality name (Dutch),Municipality name (French)
2820,0,12005A,2000,10000,12000,12005,,Bonheiden,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Mechelen,,,Bonheiden,
2260,0,13049B,2000,10000,13000,13049,,Tongerlo,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Turnhout,,,Westerlo,
2811,0,12025C,2000,10000,12000,12025,,Leest,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Mechelen,,,Mechelen,
2110,0,11050A,2000,10000,11000,11050,,Wijnegem,,,Vlaams Gewest,Région flamande,,Antwerpen,,,Antwerpen,,,Wijnegem,
5504,0,91034E,3000,90000,91000,91034,Foy-Notre-Dame,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Dinant
5574,0,91013R,3000,90000,91000,91013,Pondrôme,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Beauraing
3630,0,73107A,2000,70000,73000,73107,,Mechelen-aan-de-Maas,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Maasmechelen,
3730,0,73032A,2000,70000,73000,73032,,Hoeselt,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Hoeselt,
8020,0,31022D,2000,30000,31000,31022,,Waardamme,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Brugge,,,Oostkamp,
8200,0,31005H,2000,30000,31000,31005,,Sint-Andries,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Brugge,,,Brugge,
8380,0,31005B,2000,30000,31000,31005,,Lissewege,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Brugge,,,Brugge,
8420,0,35029A,2000,30000,35000,35029,,Klemskerke,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Oostende,,,De Haan,
8581,0,34003C,2000,30000,34000,34003,,Kerkhove,,,Vlaams Gewest,Région flamande,,West-Vlaanderen,Flandre occidentale (la),,Kortrijk,Courtrai,,Avelgem,
6741,0,85009B,3000,80000,85000,85009,Vance,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Virton,,,Étalle
6800,0,84077B,3000,80000,84000,84077,Bras,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Libramont-Chevigny
6880,0,84009A,3000,80000,84000,84009,Bertrix,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Bertrix
6922,0,84075B,3000,80000,84000,84075,Halma,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Neufchâteau,,,Wellin
6951,0,83040H,3000,80000,83000,83040,Bande,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Marche-en-Famenne,,,Nassogne
6982,0,83031B,3000,80000,83000,83031,Samrée,,,Wallonische Region,Waals Gewest,Région wallonne,,,Luxembourg,,,Marche-en-Famenne,,,La Roche-en-Ardenne
1733,1,23002A,2000,20001,23000,23002,,Asse,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Asse,
1853,0,23025B,2000,20001,23000,23025,,Strombeek-Bever,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Grimbergen,
1930,0,23094A,2000,20001,23000,23094,,Zaventem,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Zaventem,
3051,0,24086E,2000,20001,24000,24086,,Sint-Joris-Weert,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Oud-Heverlee,
1740,0,23086A,2000,20001,23000,23086,,Ternat,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Halle-Vilvoorde,Hal-Vilvorde,,Ternat,
3461,0,24008C,2000,20001,24000,24008,,Molenbeek-Wersbeek,,,Vlaams Gewest,Région flamande,,Vlaams-Brabant,Brabant flamand (le),,Leuven,,,Bekkevoort,
5360,0,91059F,3000,90000,91000,91059,Natoye,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Hamois
5646,0,92087G,3000,90000,92000,92087,Stave,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Mettet
5503,0,91034D,3000,90000,91000,91034,Sorinnes,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Dinant
5563,0,91072B,3000,90000,91000,91072,Hour,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Dinant,,,Houyet
5002,0,92094J,3000,90000,92000,92094,Saint-Servais,,,Wallonische Region,Waals Gewest,Région wallonne,,,Namur,,,Namur,,,Namur
3832,0,73098D,2000,70000,73000,73098,,Ulbeek,,,Vlaams Gewest,Région flamande,,Limburg,Limbourg (le),,Tongeren,Tongres,,Wellen,
