Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Sint-idesbald,8670,Province of West Flanders,House,villa,865000,8,285,1,0,0,0,0,0,0,0,1016,4,C,248,Good,Luxury Properties
Herstal,4040,Province of Liège,House,house,260000,3,137,1,0,0,0,0,0,0,0,104,2,D,269,Good,Houses
Braine-lalleud,1420,Province of Walloon Brabant,Apartment,penthouse,699000,3,230,0,0,0,0,0,0,0,0,0,3,Not specified,317,Not specified,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,triplex,1600000,4,250,1,0,1,1,20,1,30,0,0,2,E,317,As new,Apartments
Halle,1500,Province of Flemish Brabant,House,house,395000,3,141,1,0,0,0,0,0,0,0,338,3,D,400,To be done up,Houses
Gent,9000,Province of East Flanders,Apartment,apartment,269000,1,76,1,0,0,0,0,0,0,0,0,2,B,122,Good,Apartments
De-haan,8420,Province of West Flanders,Apartment,apartment,97000,1,32,0,0,0,0,0,0,0,0,0,0,D,323,As new,Apartments
Melsbroek,1820,Province of Flemish Brabant,House,house,549000,5,230,1,0,0,1,35,1,395,0,0,3,B,144,Just renovated,Houses
Oostkamp,8020,Province of West Flanders,House,house,625000,4,241,0,0,0,1,40,1,833,0,1160,4,B,106,Good,Houses
Turnhout,2300,Province of Antwerp,House,villa,875000,4,385,0,0,0,0,0,0,0,0,6028,4,C,261,As new,Luxury Properties
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,995000,2,219,1,0,0,1,35,1,81,0,0,2,D,161,As new,Apartments
Montegnee,4420,Province of Liège,Apartment,apartment,199500,3,83,1,0,0,0,0,0,0,0,0,2,Not specified,317,Just renovated,Apartments
Blegny,4671,Province of Liège,Apartment,triplex,139000,1,126,1,0,0,1,18,1,65,0,0,2,F,468,Good,Apartments
Sint-kruis,8310,Province of West Flanders,House,villa,675000,6,243,0,0,0,0,0,0,0,0,600,0,B,133,As new,Luxury Properties
De-haan,8420,Province of West Flanders,Apartment,apartment,139000,1,53,0,0,0,0,0,0,0,0,0,0,C,278,As new,Apartments
Anzegem,8570,Province of West Flanders,House,mansion,625000,4,600,1,0,0,0,0,0,0,0,1507,4,Not specified,317,To be done up,Luxury Properties
Kortrijk,8500,Province of West Flanders,Apartment,kot,1090000,12,257,0,0,0,0,0,0,0,0,0,2,C,259,Not specified,Apartments
Lier,2500,Province of Antwerp,Apartment,penthouse,335000,2,92,1,0,0,1,14,0,0,0,0,2,Not specified,317,Not specified,Apartments
Erembodegem,9320,Province of East Flanders,Apartment,apartment,227000,2,85,1,0,0,0,0,0,0,0,0,2,B,184,Just renovated,Apartments
De-haan,8420,Province of West Flanders,Apartment,apartment,149000,2,50,0,0,0,0,0,0,0,0,0,0,F,511,As new,Apartments
Berchem,2600,Province of Antwerp,House,house,742000,4,244,0,0,0,0,0,0,0,0,125,2,B,125,Just renovated,Houses
Waterloo,1410,Province of Walloon Brabant,House,villa,890000,5,252,1,0,0,0,0,0,0,1,3927,4,D,258,To renovate,Luxury Properties
Schoten,2900,Province of Antwerp,Apartment,apartment,384900,2,108,1,0,0,1,42,0,0,0,0,2,B,173,As new,Apartments
Aalter,9880,Province of East Flanders,Apartment,apartment,360000,2,145,0,0,0,0,0,0,0,0,0,0,B,125,To be done up,Apartments
Marche-en-famenne,6900,Province of Luxembourg,Apartment,apartment,198500,1,73,0,0,0,0,0,0,0,0,0,0,B,90,Just renovated,Apartments
Sint-pieters-leeuw,1600,Province of Flemish Brabant,House,villa,895000,4,338,0,0,0,0,0,0,0,0,843,4,A,91,As new,Luxury Properties
Lint,2547,Province of Antwerp,House,villa,635000,3,225,0,0,0,0,0,0,0,0,697,4,B,198,Good,Luxury Properties
