Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Gent,9000,Province of East Flanders,Apartment,apartment,229000,1,44,0,0,0,0,0,0,0,0,0,2,B,190,Good,Apartments
Uccle,1180,Brussels-Capital Region,House,villa,1250000,4,584,1,0,0,0,0,1,1085,0,1225,4,G,402,To renovate,Luxury Properties
Etterbeek,1040,Brussels-Capital Region,House,house,875000,4,233,1,0,0,1,21,0,0,0,112,3,G,563,To be done up,Houses
Elversele,9140,Province of East Flanders,House,villa,825000,4,281,0,0,0,0,0,0,0,1,1450,4,B,181,As new,Luxury Properties
Berlaar,2590,Province of Antwerp,Apartment,apartment,334000,2,93,1,0,0,0,0,0,0,0,0,0,A,2,Not specified,Apartments
Maldegem,9990,Province of East Flanders,House,house,749000,6,450,1,0,1,1,25,1,405,0,583,4,C,262,As new,Houses
Hoegaarden,3320,Province of Flemish Brabant,House,house,299000,3,141,0,0,0,0,0,0,0,0,216,2,C,245,Good,Houses
Antwerpen,2020,Province of Antwerp,Apartment,apartment,210000,2,89,1,0,0,1,5,0,0,0,0,0,C,283,Not specified,Apartments
Bievre,5555,Province of Namur,House,house,269000,3,130,1,0,0,1,40,0,0,0,270,2,B,118,Just renovated,Houses
Keerbergen,3140,Province of Flemish Brabant,House,house,699000,3,255,1,0,0,0,0,0,0,1,1380,4,B,194,As new,Houses
Seraing,4102,Province of Liège,House,house,59000,1,48,1,0,0,1,22,0,0,0,68,2,G,529,To be done up,Houses
Uccle,1180,Brussels-Capital Region,House,house,585000,3,200,1,0,0,1,20,1,50,0,0,2,E,250,As new,Houses
Wilrijk,2610,Province of Antwerp,Apartment,apartment,210000,2,89,1,0,0,1,5,0,0,0,0,0,C,283,Not specified,Apartments
La-louviere-houdeng-goegnies,7110,Province of Hainaut,House,house,159000,2,117,0,0,0,0,0,0,0,0,298,3,E,367,Good,Houses
Jette,1090,Brussels-Capital Region,Apartment,apartment,299000,3,128,1,0,0,0,0,0,0,0,0,2,G,405,Good,Apartments
Aalst,9320,Province of East Flanders,House,apartment-block,699000,7,525,0,0,0,1,20,0,0,0,330,2,B,181,To renovate,Specialized Properties
Deinze,9800,Province of East Flanders,Apartment,apartment,229000,2,80,1,0,0,0,0,0,0,0,0,2,B,132,As new,Apartments
Moorsele,8560,Province of West Flanders,House,villa,795000,3,300,0,0,0,0,0,0,0,0,2422,0,Not specified,317,Not specified,Luxury Properties
Ixelles,1050,Brussels-Capital Region,House,house,875000,4,233,1,0,0,1,21,0,0,0,112,3,G,563,To be done up,Houses
Habay-orsinfaing,6724,Province of Luxembourg,House,exceptional-property,749000,5,608,1,1,0,1,130,1,1200,1,6595,3,D,274,Good,Luxury Properties
Uccle,1180,Brussels-Capital Region,House,house,850000,4,230,1,0,0,1,50,1,262,0,250,2,E,245,Good,Houses
Ronse,9600,Province of East Flanders,House,country-cottage,239000,3,160,0,0,0,0,0,0,0,0,410,4,B,192,To be done up,Houses
Antwerpen,2060,Province of Antwerp,House,mixed-use-building,149000,0,67,0,0,0,1,10,1,10,0,73,3,B,317,Just renovated,Specialized Properties
Sint-lievens-houtem,9520,Province of East Flanders,House,villa,549000,4,210,1,0,0,0,0,0,0,0,3582,4,F,701,Good,Luxury Properties
Brugge,8000,Province of West Flanders,House,house,695000,6,340,0,0,0,0,0,0,0,0,0,4,E,455,Good,Houses
Belsele,9111,Province of East Flanders,House,house,675000,5,360,1,0,0,1,50,1,1900,0,2200,3,Not specified,317,Just renovated,Houses
Brugge,8000,Province of West Flanders,House,mansion,788000,4,380,0,0,0,0,0,0,0,0,148,0,B,195,Good,Luxury Properties
Bruxelles,1120,Brussels-Capital Region,House,apartment-block,565000,4,215,0,0,1,1,22,1,105,0,0,2,G,793,Good,Specialized Properties
Comblain-au-pont,4171,Province of Liège,House,house,150000,3,104,1,0,0,1,15,1,15,0,193,4,F,444,To be done up,Houses
Ledeberg,9050,Province of East Flanders,House,house,299000,4,155,0,0,0,0,0,0,0,0,128,2,C,247,To renovate,Houses
Manage,7170,Province of Hainaut,House,house,119000,4,165,0,0,0,0,0,0,0,0,90,3,E,372,Good,Houses
Lasne,1380,Province of Walloon Brabant,House,house,830000,5,222,1,0,0,1,30,1,1850,0,2031,4,C,251,Good,Houses
Gent,9000,Province of East Flanders,House,house,299000,4,155,0,0,0,0,0,0,0,0,128,2,C,247,To renovate,Houses
Saint-ghislain-baudour,7331,Province of Hainaut,House,house,180000,3,192,0,0,0,0,0,1,1500,0,1620,4,G,516,To renovate,Houses
Liege-jupillesur-meuse,4020,Province of Liège,House,mixed-use-building,155000,3,120,0,0,0,0,0,0,0,0,90,3,F,476,Good,Specialized Properties
Liege,4020,Province of Liège,House,apartment-block,99000,3,109,0,0,0,1,14,1,140,0,198,2,F,476,To renovate,Specialized Properties
Wavre,1300,Province of Walloon Brabant,House,house,545000,6,360,0,0,1,1,20,0,0,0,1277,4,D,329,Not specified,Houses
Forest,1190,Brussels-Capital Region,House,house,765000,5,360,0,0,0,1,18,1,500,0,820,3,G,395,To be done up,Houses
Ixelles,1050,Brussels-Capital Region,House,mixed-use-building,899000,5,253,0,0,0,0,0,1,30,0,90,2,F,293,Good,Specialized Properties
Koksijde,8670,Province of West Flanders,House,house,675000,4,373,0,0,1,0,0,0,0,0,566,4,B,317,Not specified,Houses
Brussel,1020,Brussels-Capital Region,House,villa,1050000,6,391,1,0,0,1,51,0,0,0,1592,4,F,328,Not specified,Luxury Properties
Villers-la-ville,1495,Province of Walloon Brabant,House,exceptional-property,947000,5,320,1,0,1,1,100,1,1674,0,2114,4,C,203,As new,Luxury Properties
Wetteren,9230,Province of East Flanders,House,house,255000,2,121,1,0,0,1,10,1,40,0,130,3,F,552,Good,Houses
Blankenberge,8370,Province of West Flanders,House,house,599000,3,250,0,0,0,0,0,0,0,0,630,0,C,251,Not specified,Houses
Berlaar,2590,Province of Antwerp,House,house,549000,4,290,1,0,0,0,0,0,0,0,535,3,B,188,Not specified,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,895000,5,328,1,0,0,1,20,1,60,0,170,2,C,142,Good,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,375000,2,90,1,0,0,0,0,0,0,0,0,2,D,183,To renovate,Apartments
Oud-heverlee,3050,Province of Flemish Brabant,House,house,729000,3,200,1,0,0,1,54,0,0,0,783,4,Not specified,317,Not specified,Houses
Leopoldsburg,3970,Province of Limburg,House,villa,545000,3,207,0,0,0,0,0,1,1028,0,1221,4,B,167,As new,Luxury Properties
Beersel-alsemberg,1652,Province of Flemish Brabant,House,house,379000,3,150,1,0,0,1,10,1,271,0,372,3,D,399,Good,Houses
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,349500,1,46,0,0,0,0,0,0,0,0,0,0,B,152,As new,Apartments
Zwijndrecht,2070,Province of Antwerp,House,house,420000,3,173,0,0,0,0,0,0,0,0,391,0,D,367,Good,Houses
Bornem,2880,Province of Antwerp,House,house,160000,3,118,1,0,0,0,0,1,263,0,345,2,E,446,To renovate,Houses
Brasschaat,2930,Province of Antwerp,House,villa,775000,4,333,0,0,1,0,0,0,0,0,1719,4,F,605,To renovate,Luxury Properties
Mortsel,2640,Province of Antwerp,Apartment,ground-floor,225000,1,55,1,0,0,1,30,1,106,0,0,2,D,316,Good,Apartments
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,270000,2,75,1,1,0,1,8,0,0,0,0,0,D,168,As new,Apartments
Saint-gilles,1060,Brussels-Capital Region,House,mixed-use-building,899000,5,253,0,0,0,0,0,1,30,0,90,2,F,293,Good,Specialized Properties
Wavre,1300,Province of Walloon Brabant,House,house,695000,5,325,1,0,0,0,0,0,0,0,3175,4,C,249,To be done up,Houses
Zonhoven,3520,Province of Limburg,House,house,775000,3,242,1,0,0,0,0,0,0,0,1576,4,C,240,Not specified,Houses
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,199000,1,55,1,0,0,0,0,0,0,0,0,2,G,426,As new,Apartments
Oostduinkerke,8670,Province of West Flanders,House,house,780775,3,211,0,0,0,0,0,0,0,0,1361,0,Not specified,317,Not specified,Houses
Liege-jupillesur-meuse,4020,Province of Liège,House,house,155000,3,120,0,0,0,0,0,0,0,0,90,3,F,476,Good,Houses
Leuven,3000,Province of Flemish Brabant,Apartment,flat-studio,245000,1,30,1,1,0,1,6,0,0,0,0,0,B,113,Good,Apartments
Liege,4000,Province of Liège,Apartment,apartment,187000,2,78,1,0,0,0,0,0,0,0,0,2,C,198,Good,Apartments
Uccle,1180,Brussels-Capital Region,House,villa,1290000,3,230,1,0,0,0,0,0,0,0,2400,4,G,505,Good,Luxury Properties
Braine-lalleud,1420,Province of Walloon Brabant,House,villa,1395000,5,520,1,0,0,0,0,1,3400,0,3727,4,C,202,Good,Luxury Properties
Knokke-heist,8300,Province of West Flanders,House,house,795000,3,200,1,0,0,0,0,0,0,0,125,2,B,183,Good,Houses
Petegem-aan-de-leie,9800,Province of East Flanders,Apartment,apartment,199000,2,78,1,0,0,1,2,0,0,0,0,2,A,98,Good,Apartments
Deurne,2100,Province of Antwerp,Apartment,apartment,189000,3,93,1,0,0,1,5,0,0,0,0,0,C,293,To be done up,Apartments
Virton-ethe,6760,Province of Luxembourg,House,house,555000,7,330,1,0,0,1,20,1,700,0,956,4,C,235,Good,Houses
Saint-nicolas,4420,Province of Liège,Apartment,apartment,139500,1,42,1,0,0,1,10,0,0,0,0,2,Not specified,317,Just renovated,Apartments
Antwerpen-berchem,2600,Province of Antwerp,Apartment,apartment,159900,2,77,1,0,0,1,5,0,0,0,0,2,B,129,Good,Apartments
Dison,4800,Province of Liège,House,house,220000,3,92,1,0,0,1,6,1,227,0,261,2,C,216,Good,Houses
Liege,4000,Province of Liège,House,apartment-block,920000,8,360,1,0,0,1,18,1,45,0,280,3,B,168,Good,Specialized Properties
Liege,4000,Province of Liège,House,house,270000,3,148,1,0,0,1,10,1,300,0,405,2,C,198,Just renovated,Houses
Genappe,1470,Province of Walloon Brabant,House,house,195000,2,142,1,0,0,0,0,1,140,0,282,3,G,568,To renovate,Houses
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,945000,5,353,1,0,0,0,0,1,104,0,222,2,E,226,Good,Houses
Forest,1190,Brussels-Capital Region,House,apartment-block,620000,5,377,1,0,0,1,17,1,86,0,188,2,Not specified,317,Good,Specialized Properties
Herselt-ramsel,2230,Province of Antwerp,House,villa,849000,4,437,1,0,0,0,0,0,0,1,1750,4,C,259,As new,Luxury Properties
Retie,2470,Province of Antwerp,Apartment,apartment,595000,4,254,0,0,0,1,95,0,0,0,0,0,B,191,Not specified,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,179000,1,39,0,1,0,0,0,0,0,0,0,3,C,116,Good,Apartments
Liege-chenee,4032,Province of Liège,House,house,199000,3,110,1,0,0,1,35,1,35,0,95,2,D,290,Good,Houses
Grace-hollogne,4460,Province of Liège,House,house,249000,3,157,1,0,0,1,18,1,25,0,204,2,D,334,Good,Houses
Kontich,2550,Province of Antwerp,House,villa,570000,5,228,1,0,0,0,0,1,496,0,633,4,E,462,Good,Luxury Properties
Antwerpen,2018,Province of Antwerp,Apartment,duplex,785000,3,240,0,0,0,0,0,1,83,0,0,2,Not specified,317,As new,Apartments
Knokke-heist,8301,Province of West Flanders,House,house,875000,6,215,0,0,0,0,0,0,0,0,249,4,F,616,To be done up,Houses
Gent,9000,Province of East Flanders,Apartment,apartment,270000,2,74,0,0,0,1,3,0,0,0,0,0,B,153,To be done up,Apartments
Virton,6762,Province of Luxembourg,House,mixed-use-building,250000,3,149,0,0,0,0,0,0,0,0,185,2,F,494,To be done up,Specialized Properties
Uccle,1180,Brussels-Capital Region,House,mixed-use-building,699000,4,286,1,0,0,1,20,1,55,0,185,2,G,426,Good,Specialized Properties
Anhee,5537,Province of Namur,Apartment,apartment,199000,2,89,0,1,0,0,0,0,0,0,0,0,A,83,Just renovated,Apartments
Gent,9052,Province of East Flanders,House,villa,930000,3,262,1,0,1,0,0,1,624,1,789,4,A,36,As new,Luxury Properties
Schaerbeek,1030,Brussels-Capital Region,House,mansion,925000,5,342,1,0,1,1,25,1,150,0,220,0,Not specified,317,Not specified,Luxury Properties
Spa,4900,Province of Liège,Apartment,duplex,298500,2,86,1,0,0,1,9,0,0,0,0,2,B,127,Good,Apartments
Beersel,1650,Province of Flemish Brabant,House,house,259000,3,110,1,0,0,0,0,1,36,0,98,2,D,304,To renovate,Houses
Hertsberge,8020,Province of West Flanders,House,country-cottage,1690000,3,495,0,0,1,0,0,0,0,1,8698,4,C,233,To be done up,Houses
Sint-kruis,8310,Province of West Flanders,House,house,850000,4,279,1,0,0,0,0,1,490,0,490,3,A,69,As new,Houses
Keerbergen,3140,Province of Flemish Brabant,House,house,1199000,4,478,1,0,0,0,0,0,0,0,2980,4,C,212,Not specified,Houses
Knokke-heist,8300,Province of West Flanders,House,house,965000,4,265,0,0,0,0,0,0,0,0,0,0,Not specified,317,Good,Houses
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,895000,3,223,1,0,0,1,13,0,0,0,0,2,C,105,Not specified,Apartments
Wanze,4520,Province of Liège,Apartment,apartment,200000,2,80,0,0,0,1,4,0,0,0,0,0,B,161,Good,Apartments
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,330000,2,76,1,0,0,0,0,0,0,0,0,0,C,115,Good,Apartments
Tienen,3300,Province of Flemish Brabant,Apartment,ground-floor,265000,2,85,0,0,0,0,0,0,0,0,0,0,B,200,As new,Apartments
Bruxelles,1120,Brussels-Capital Region,Apartment,apartment,207000,1,75,1,0,0,0,0,0,0,0,0,2,C,102,Good,Apartments
Arlon,6700,Province of Luxembourg,House,house,515000,4,250,1,0,1,1,38,0,0,0,260,2,C,194,As new,Houses
Etterbeek,1040,Brussels-Capital Region,House,house,540000,4,250,1,0,0,0,0,0,0,0,240,2,G,317,To renovate,Houses
Meise-wolvertem,1861,Province of Flemish Brabant,House,house,1000000,3,400,0,0,0,0,0,0,0,0,800,3,D,367,As new,Houses
Lier,2500,Province of Antwerp,Apartment,duplex,349000,3,133,1,0,0,0,0,0,0,0,0,2,B,164,Not specified,Apartments
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,215000,2,78,0,0,0,1,13,0,0,0,0,2,C,120,To renovate,Apartments
Brasschaat,2930,Province of Antwerp,House,villa,1195000,4,284,1,0,1,0,0,1,1880,0,1880,4,C,236,As new,Luxury Properties
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,390000,2,81,1,0,0,1,4,0,0,0,0,0,D,196,Good,Apartments
Oudenaarde,9700,Province of East Flanders,House,house,274000,4,182,0,0,0,0,0,0,0,0,750,2,E,493,Good,Houses
Onze-lieve-vrouw-waver,2861,Province of Antwerp,House,house,835000,5,335,0,0,0,0,0,0,0,0,12932,0,B,134,Good,Houses
Alleur,4432,Province of Liège,Apartment,apartment,219000,2,98,0,0,0,1,6,0,0,0,0,3,D,305,Not specified,Apartments
Petit-enghien,7850,Province of Hainaut,House,villa,545000,4,220,0,0,0,0,0,0,0,0,1437,4,B,119,Not specified,Luxury Properties
Zoersel,2980,Province of Antwerp,House,house,775000,4,350,0,0,0,0,0,0,0,0,3715,4,C,226,To be done up,Houses
Ixelles,1050,Brussels-Capital Region,House,house,1200000,2,200,0,0,0,1,12,1,80,0,338,2,Not specified,317,As new,Houses
Antwerpen,2050,Province of Antwerp,House,exceptional-property,446000,3,121,0,0,0,0,0,1,60,0,133,3,A,76,As new,Luxury Properties
Braine-lalleud,1420,Province of Walloon Brabant,House,house,275000,3,100,1,0,0,1,15,1,141,0,190,2,C,210,To be done up,Houses
Laeken,1020,Brussels-Capital Region,Apartment,apartment,220000,2,74,1,0,0,0,0,0,0,0,0,2,G,625,As new,Apartments
Zwevegem,8550,Province of West Flanders,House,house,629000,2,289,1,0,0,0,0,0,0,0,1034,4,D,347,Just renovated,Houses
Tielt,8700,Province of West Flanders,House,apartment-block,545000,0,260,1,0,0,0,0,0,0,0,93,0,A,90,To renovate,Specialized Properties
Eeklo,9900,Province of East Flanders,House,house,535000,4,272,0,0,0,0,0,0,0,0,983,4,B,134,As new,Houses
Elsene,1050,Brussels-Capital Region,House,house,1200000,5,202,0,0,0,1,9,1,20,0,0,2,Not specified,317,Good,Houses
Gilly,6060,Province of Hainaut,House,house,155000,2,100,0,0,1,1,18,1,42,0,0,2,F,460,Good,Houses
Antwerpen,2060,Province of Antwerp,House,house,275000,3,183,1,0,0,0,0,1,30,0,91,2,F,568,To be done up,Houses
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,220000,2,75,1,0,0,1,3,0,0,0,0,2,D,210,Good,Apartments
Liege,4000,Province of Liège,Apartment,apartment,920000,8,360,1,0,0,1,18,1,45,0,0,3,B,168,Good,Apartments
Overijse,3090,Province of Flemish Brabant,House,villa,899000,6,338,0,0,0,0,0,0,0,0,820,4,F,720,Not specified,Luxury Properties
Borgerhout,2140,Province of Antwerp,Apartment,apartment,225000,2,82,1,0,0,1,6,0,0,0,0,0,B,171,Good,Apartments
Braine-lalleud,1420,Province of Walloon Brabant,House,house,285000,3,140,1,0,0,1,21,1,128,0,205,2,C,216,To renovate,Houses
Kluisbergen,9690,Province of East Flanders,House,mixed-use-building,545000,6,340,0,1,0,1,29,0,0,0,2444,2,C,221,Not specified,Specialized Properties
Zoersel-halle,2980,Province of Antwerp,House,villa,525000,4,257,1,0,0,0,0,0,0,1,1359,4,D,310,Not specified,Luxury Properties
Blankenberge,8370,Province of West Flanders,Apartment,apartment,245000,2,100,0,0,0,0,0,0,0,0,0,0,B,135,Good,Apartments
Lier,2500,Province of Antwerp,House,apartment-block,285000,1,40,0,0,0,0,0,0,0,0,259,2,D,332,Good,Specialized Properties
Wemmel,1780,Province of Flemish Brabant,House,villa,1550000,5,405,0,0,0,0,0,1,1200,0,1433,4,B,119,As new,Luxury Properties
Herstal,4040,Province of Liège,House,apartment-block,549000,5,289,1,0,0,1,40,0,0,0,163,2,B,106,Good,Specialized Properties
Schaerbeek,1030,Brussels-Capital Region,House,apartment-block,1450000,11,547,0,0,0,1,6,0,0,0,620,2,C,141,Good,Specialized Properties
Elsene,1050,Brussels-Capital Region,House,house,1200000,5,207,0,0,0,1,9,1,29,0,0,2,Not specified,317,Good,Houses
Zaventem,1930,Province of Flemish Brabant,Apartment,ground-floor,220000,1,65,0,0,0,0,0,0,0,0,0,0,B,165,As new,Apartments
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,225000,2,78,1,0,0,0,0,0,0,0,0,4,D,178,Good,Apartments
Elsene,1050,Brussels-Capital Region,House,house,1375000,6,215,0,0,0,1,24,1,36,0,0,2,Not specified,317,Good,Houses
Scherpenheuvel-zichem,3271,Province of Flemish Brabant,House,house,195000,5,129,0,0,1,1,15,1,770,0,1020,3,D,389,To be done up,Houses
Uccle,1180,Brussels-Capital Region,Apartment,apartment,229000,1,65,1,0,0,0,0,0,0,0,0,2,G,893,To renovate,Apartments
Libramont-chevigny,6800,Province of Luxembourg,House,house,309000,4,150,0,0,0,1,10,1,800,0,965,4,E,422,To renovate,Houses
Uccle,1180,Brussels-Capital Region,House,apartment-block,895000,2,450,1,0,0,0,0,0,0,0,0,2,Not specified,317,Good,Specialized Properties
Gent,9000,Province of East Flanders,House,apartment-block,549000,3,220,1,0,0,0,0,0,0,0,71,0,F,633,To renovate,Specialized Properties
Halle,1500,Province of Flemish Brabant,House,mixed-use-building,1590000,12,602,0,0,0,0,0,0,0,0,0,2,Not specified,317,Good,Specialized Properties
Zwijndrecht,2070,Province of Antwerp,House,house,349000,5,160,0,0,0,0,0,0,0,0,301,0,F,638,To renovate,Houses
Kontich,2550,Province of Antwerp,House,house,319000,5,172,1,0,0,1,14,1,100,0,212,2,D,342,To be done up,Houses
Fosses-la-ville,5070,Province of Namur,House,villa,630000,5,350,1,0,1,0,0,0,0,0,2800,4,C,192,Just renovated,Luxury Properties
Gentbrugge,9050,Province of East Flanders,House,house,549000,4,205,1,0,0,1,25,0,0,0,117,0,B,157,Just renovated,Houses
Knokke-heist,8300,Province of West Flanders,House,house,1690000,3,291,0,0,0,0,0,0,0,0,732,4,Not specified,45,As new,Houses
Destelbergen,9070,Province of East Flanders,House,house,495000,3,170,0,0,0,1,1,1,1,0,578,3,A,317,As new,Houses
Bruxelles,1120,Brussels-Capital Region,Apartment,apartment,232000,1,75,1,0,0,0,0,0,0,0,0,2,C,102,Good,Apartments
Waterloo,1410,Province of Walloon Brabant,House,house,350000,2,120,1,0,0,0,0,1,472,0,575,4,G,522,To be done up,Houses
Amay,4540,Province of Liège,House,mixed-use-building,599000,5,366,0,0,0,0,0,0,0,0,122,2,B,154,Not specified,Specialized Properties
Merelbeke,9820,Province of East Flanders,House,house,549000,4,205,1,0,0,1,25,0,0,0,117,0,B,157,Just renovated,Houses
Lauwe,8930,Province of West Flanders,House,villa,1200000,4,594,0,0,0,0,0,0,0,1,2263,4,B,317,As new,Luxury Properties
Londerzeel,1840,Province of Flemish Brabant,House,town-house,342000,4,140,0,0,0,1,7,1,40,0,94,2,B,147,Good,Houses
Lubbeek,3210,Province of Flemish Brabant,House,house,355000,3,120,1,0,0,0,0,0,0,0,261,2,C,249,Just renovated,Houses
Gooik,1755,Province of Flemish Brabant,House,house,229000,2,146,1,0,0,0,0,0,0,0,1908,3,F,526,To be done up,Houses
Bruxelles,1120,Brussels-Capital Region,Apartment,apartment,235000,2,75,1,0,0,1,4,0,0,0,0,2,G,495,Good,Apartments
Gent,9000,Province of East Flanders,House,house,1100000,5,200,1,1,0,1,13,1,41,0,147,2,A,90,As new,Houses
Schoten,2900,Province of Antwerp,House,house,549900,7,281,1,0,0,0,0,1,1000,0,1323,3,C,296,Good,Houses
Antwerpen,2170,Province of Antwerp,Apartment,apartment,192000,2,70,1,0,0,1,3,0,0,0,0,4,B,317,Good,Apartments
Zelzate,9060,Province of East Flanders,House,house,369000,3,149,1,0,0,1,46,1,24,0,169,0,B,191,Good,Houses
Nazareth,9810,Province of East Flanders,House,house,535000,3,356,1,0,0,0,0,0,0,0,730,4,C,235,Good,Houses
Aartselaar,2630,Province of Antwerp,House,house,650000,3,444,0,0,0,0,0,0,0,0,1323,0,D,361,Not specified,Houses
Enghien,7850,Province of Hainaut,House,house,560000,5,485,0,0,0,0,0,0,0,0,1535,2,F,436,Not specified,Houses
Berchem-sainte-agathe,1082,Brussels-Capital Region,Apartment,apartment,245000,2,70,1,0,0,1,6,0,0,0,0,4,C,121,Good,Apartments
Rixensart,1330,Province of Walloon Brabant,House,house,595000,4,209,0,0,1,1,9,0,0,0,1160,4,F,461,To be done up,Houses
Arlon,6700,Province of Luxembourg,House,house,990000,5,482,1,0,0,0,0,0,0,0,2157,4,D,260,Good,Houses
Kortrijk,8500,Province of West Flanders,House,house,465000,3,191,0,0,0,0,0,0,0,0,230,0,A,96,Not specified,Houses
Sint-jans-molenbeek,1080,Brussels-Capital Region,Apartment,apartment,255000,2,90,1,0,0,1,6,0,0,0,0,4,B,86,Good,Apartments
Awans,4340,Province of Liège,House,house,699000,5,295,1,0,0,1,40,1,324,0,930,4,D,328,As new,Houses
Berlare,9290,Province of East Flanders,Apartment,penthouse,1325000,2,320,1,0,1,1,106,0,0,0,0,4,B,168,Not specified,Apartments
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,villa,1385000,4,260,1,0,0,1,72,1,460,0,547,4,D,175,As new,Luxury Properties
Belvaux,5580,Province of Namur,House,house,429000,3,166,1,0,0,1,15,1,1220,0,1220,4,E,376,Just renovated,Houses
Wemmel,1780,Province of Flemish Brabant,House,mixed-use-building,625000,7,266,0,0,0,0,0,0,0,0,304,3,C,258,Not specified,Specialized Properties
Duffel,2570,Province of Antwerp,House,villa,795000,4,370,0,0,0,0,0,1,2000,0,2500,4,D,368,Good,Luxury Properties
Liege,4020,Province of Liège,House,house,74000,2,73,1,0,1,1,10,1,45,0,82,3,F,475,To renovate,Houses
Edegem,2650,Province of Antwerp,House,house,384950,3,160,0,0,0,0,0,1,70,0,170,2,D,370,To be done up,Houses
Nivelles,1400,Province of Walloon Brabant,House,villa,1150000,4,400,1,0,0,0,0,1,3197,1,3497,4,B,161,Good,Luxury Properties
Vichte,8570,Province of West Flanders,House,house,259500,3,145,1,0,1,1,25,0,0,0,150,2,B,171,Good,Houses
Wemmel,1780,Province of Flemish Brabant,House,house,389000,3,145,0,0,0,1,8,1,130,0,130,2,B,159,Good,Houses
Oostkamp,8020,Province of West Flanders,House,house,246000,4,116,0,0,1,0,0,1,98,0,230,3,E,464,Good,Houses
Herent,3020,Province of Flemish Brabant,House,house,630000,4,240,0,0,0,1,25,1,203,0,324,0,A,317,Not specified,Houses
Lier,2500,Province of Antwerp,House,house,595000,5,345,0,0,0,0,0,1,29,0,170,3,E,490,To renovate,Houses
Trooz,4870,Province of Liège,House,villa,398000,4,162,1,0,1,0,0,1,1127,0,1702,4,F,479,Good,Luxury Properties
Woluwe-saint-lambert,1200,Brussels-Capital Region,Apartment,apartment,249000,1,70,1,0,0,1,5,0,0,0,0,2,G,694,Good,Apartments
De-panne,8660,Province of West Flanders,House,house,595000,6,281,1,0,0,0,0,0,0,0,281,0,C,219,Just renovated,Houses
Rhode-saint-genese,1640,Province of Flemish Brabant,House,villa,895000,4,240,1,0,0,1,30,1,1400,0,1400,4,B,198,To be done up,Luxury Properties
Deinze,9800,Province of East Flanders,House,villa,695000,3,385,1,0,0,1,124,1,1105,1,1811,4,E,428,Good,Luxury Properties
Tienen,3300,Province of Flemish Brabant,Apartment,apartment,189500,2,79,0,0,0,1,6,0,0,0,0,0,C,226,As new,Apartments
Nieuwpoort,8620,Province of West Flanders,House,villa,995000,4,211,1,0,0,0,0,0,0,0,666,0,F,579,To renovate,Luxury Properties
Borgerhout,2140,Province of Antwerp,House,house,780000,10,448,0,0,0,0,0,0,0,0,0,0,D,335,To renovate,Houses
Lubbeek,3210,Province of Flemish Brabant,House,villa,990000,6,492,0,0,0,0,0,0,0,1,2435,4,Not specified,317,As new,Luxury Properties
Juprelle,4450,Province of Liège,House,house,330000,3,125,1,0,0,1,53,1,563,0,670,3,D,273,Good,Houses
Charleroi-couillet,6010,Province of Hainaut,House,house,150000,4,121,0,0,0,0,0,1,320,0,420,4,G,515,To renovate,Houses
Brussel,1000,Brussels-Capital Region,Apartment,apartment,175000,1,20,0,1,0,0,0,0,0,0,0,0,F,314,Good,Apartments
Bruxelles,1000,Brussels-Capital Region,Apartment,flat-studio,135000,1,23,1,0,0,0,0,0,0,0,0,2,E,236,Good,Apartments
Liege,4020,Province of Liège,House,house,165000,3,126,0,1,0,1,26,1,112,0,165,2,D,325,Good,Houses
Wakken,8720,Province of West Flanders,Apartment,apartment,149900,1,62,1,0,0,0,0,0,0,0,0,0,B,132,Good,Apartments
Brussels,1000,Brussels-Capital Region,Apartment,apartment,450000,3,125,1,0,0,1,9,0,0,0,0,3,G,367,Good,Apartments
Schelle,2627,Province of Antwerp,House,house,625000,4,209,1,0,0,0,0,0,0,0,631,4,B,176,Good,Houses
Halle,1500,Province of Flemish Brabant,Apartment,apartment,245000,2,84,1,0,0,0,0,0,0,0,0,0,B,159,Good,Apartments
Dendermonde,9200,Province of East Flanders,House,house,539000,4,306,1,0,0,0,0,0,0,0,594,4,B,165,As new,Houses
Gavere,9890,Province of East Flanders,House,house,376463,3,120,1,0,0,1,14,1,158,0,238,3,Not specified,317,As new,Houses
